id_cliente;edad;importe_solicitado;duracion_credito;antiguedad_empleado;situacion_vivienda;ingresos;objetivo_credito;pct_ingreso;tasa_interes;estado_credito;falta_pago
715318008.0;21;4000;2;5.0;OTROS;11389;EDUCACIÓN;0.35;12.84;1;Y
718813833.0;21;2000;3;5.0;PROPIA;11520;SALUD;0.17;11.12;1;N
806624208.0;25;32000;2;2.0;ALQUILER;120000;INVERSIONES;0.27;6.62;0;N
778348233.0;26;31050;3;7.0;ALQUILER;95000;MEJORAS_HOGAR;0.33;14.17;1;Y
712991808.0;25;24250;3;2.0;ALQUILER;306000;PAGO_DEUDAS;0.08;13.85;0;N
709029408.0;26;7800;4;10.0;HIPOTECA;300000;SALUD;0.03;13.49;0;N
787937058.0;21;2500;4;5.0;PROPIA;12000;EDUCACIÓN;0.21;7.51;1;N
713962233.0;22;30000;2;1.0;ALQUILER;48000;EDUCACIÓN;0.63;18.39;1;N
708300483.0;24;30000;3;8.0;ALQUILER;64000;PAGO_DEUDAS;0.47;14.54;1;Y
778493808.0;25;30000;4;4.0;ALQUILER;75000;MEJORAS_HOGAR;0.4;16.89;1;Y
785432733.0;23;30000;4;3.0;ALQUILER;71500;PAGO_DEUDAS;0.42;;1;N
715190283.0;26;30000;2;6.0;ALQUILER;62050;SALUD;0.41;17.99;1;N
827111283.0;24;2500;3;4.0;PROPIA;12000;INVERSIONES;0.21;12.69;1;N
758551608.0;26;20000;4;10.0;HIPOTECA;300000;INVERSIONES;0.07;7.88;0;N
779471883.0;23;24250;2;1.0;PROPIA;300000;EDUCACIÓN;0.08;19.41;0;Y
773146383.0;26;10000;4;9.0;PROPIA;300000;MEJORAS_HOGAR;0.03;10.38;0;N
720572508.0;26;25000;3;0.0;HIPOTECA;300000;EDUCACIÓN;0.08;15.33;0;N
712661433.0;25;18000;3;9.0;HIPOTECA;300000;MEJORAS_HOGAR;0.06;16.45;0;N
789172683.0;26;30000;3;8.0;ALQUILER;80690;PERSONAL;0.37;7.49;1;N
738406533.0;22;30000;3;4.0;ALQUILER;66300;SALUD;0.38;12.69;1;N
799723908.0;26;30000;3;0.0;ALQUILER;89028;PAGO_DEUDAS;0.34;6.62;1;N
714374133.0;24;30000;4;4.0;ALQUILER;78000;PAGO_DEUDAS;0.38;;1;Y
714091983.0;23;30000;3;7.0;ALQUILER;78000;PAGO_DEUDAS;0.38;18.62;1;Y
771490833.0;23;30000;3;6.0;ALQUILER;92004;PERSONAL;0.33;15.23;1;Y
720756708.0;23;30000;2;7.0;ALQUILER;97000;INVERSIONES;0.31;10.65;1;N
711525033.0;25;30000;4;9.0;ALQUILER;120000;EDUCACIÓN;0.25;7.9;0;N
712813458.0;26;10000;3;4.0;ALQUILER;280000;PERSONAL;0.04;15.96;0;Y
717891558.0;26;20000;3;0.0;ALQUILER;277104;INVERSIONES;0.07;11.48;0;N
716632758.0;23;35000;4;3.0;PROPIA;277000;PERSONAL;0.13;;0;N
768563658.0;25;30000;4;9.0;ALQUILER;128000;PERSONAL;0.23;7.29;0;N
712030833.0;24;1750;3;2.0;PROPIA;12000;INVERSIONES;0.15;;0;Y
711427458.0;21;30000;4;0.0;ALQUILER;131000;INVERSIONES;0.23;5.99;0;N
787584108.0;22;12000;2;6.0;PROPIA;275000;INVERSIONES;0.04;11.58;0;N
711481533.0;26;10000;4;0.0;HIPOTECA;263000;EDUCACIÓN;0.04;;1;N
710082708.0;25;25000;2;9.0;HIPOTECA;221850;SALUD;0.1;15.7;1;N
708155733.0;22;29100;3;6.0;ALQUILER;70000;EDUCACIÓN;0.42;15.99;1;N
788730933.0;22;1500;3;7.0;HIPOTECA;12000;EDUCACIÓN;0.13;14.84;0;Y
788979258.0;26;28000;3;10.0;PROPIA;260000;MEJORAS_HOGAR;0.11;10.99;0;N
715971108.0;25;20000;2;9.0;HIPOTECA;259000;MEJORAS_HOGAR;0.08;14.42;0;Y
807986133.0;24;9600;2;9.0;HIPOTECA;255000;EDUCACIÓN;0.04;6.99;0;N
711314058.0;25;25000;4;2.0;ALQUILER;250000;SALUD;0.1;13.49;0;N
717975333.0;25;3000;3;0.0;PROPIA;12000;SALUD;0.25;;1;N
720096558.0;22;28000;2;6.0;ALQUILER;56950;SALUD;0.49;;1;N
804595158.0;21;3000;3;6.0;PROPIA;12000;EDUCACIÓN;0.25;13.61;1;Y
719580033.0;23;28000;2;2.0;ALQUILER;65000;EDUCACIÓN;0.43;7.9;1;N
820582308.0;26;28000;3;2.0;ALQUILER;85000;INVERSIONES;0.33;7.49;1;N
789973308.0;26;6100;3;2.0;PROPIA;12000;EDUCACIÓN;0.51;7.51;1;N
712876233.0;22;28000;3;6.0;ALQUILER;88000;INVERSIONES;0.32;9.91;1;N
714826758.0;21;4200;4;0.0;PROPIA;12000;PERSONAL;0.35;13.48;1;Y
779058108.0;22;4750;2;6.0;PROPIA;12000;PAGO_DEUDAS;0.4;7.14;1;N
710790258.0;24;28000;4;0.0;ALQUILER;83004;INVERSIONES;0.34;15.99;1;Y
715156383.0;24;18000;3;2.0;ALQUILER;250000;EDUCACIÓN;0.07;12.98;0;Y
715623483.0;144;4800;3;4.0;ALQUILER;250000;INVERSIONES;0.02;13.57;0;N
755420433.0;25;28000;3;5.0;ALQUILER;100000;PAGO_DEUDAS;0.28;12.69;0;N
794543958.0;26;28000;2;10.0;ALQUILER;110000;EDUCACIÓN;0.25;8.9;0;N
716396358.0;26;2700;4;0.0;PROPIA;12000;PAGO_DEUDAS;0.23;;1;N
715398033.0;22;28000;4;6.0;ALQUILER;108000;EDUCACIÓN;0.26;;1;N
711743883.0;23;28000;2;7.0;ALQUILER;151200;PAGO_DEUDAS;0.19;11.11;0;N
719720058.0;24;27600;2;2.0;ALQUILER;69000;MEJORAS_HOGAR;0.4;;1;N
711013983.0;21;3250;3;5.0;HIPOTECA;12000;PAGO_DEUDAS;0.27;15.68;1;Y
711887583.0;22;27500;3;4.0;ALQUILER;70000;EDUCACIÓN;0.39;13.06;1;Y
778992108.0;22;25000;2;6.0;PROPIA;240000;PERSONAL;0.1;;0;N
713572683.0;26;27050;2;5.0;ALQUILER;73200;INVERSIONES;0.37;15.62;1;Y
714070758.0;24;27000;2;5.0;ALQUILER;83000;PERSONAL;0.33;13.49;1;Y
717539808.0;24;27000;3;0.0;ALQUILER;73399;INVERSIONES;0.37;;1;N
714107958.0;23;26000;2;7.0;ALQUILER;62500;SALUD;0.42;11.71;1;N
789140283.0;23;25600;3;1.0;ALQUILER;120000;EDUCACIÓN;0.21;12.69;0;N
715550508.0;24;1600;3;2.0;PROPIA;12360;SALUD;0.13;13.57;0;N
719712633.0;22;25475;3;0.0;ALQUILER;60000;INVERSIONES;0.42;10.99;1;N
802013583.0;25;20000;4;3.0;HIPOTECA;234000;SALUD;0.09;14.27;0;Y
772629333.0;24;20000;4;8.0;PROPIA;234000;MEJORAS_HOGAR;0.09;8.88;0;N
720336708.0;26;21600;3;10.0;HIPOTECA;234000;MEJORAS_HOGAR;0.09;12.18;0;N
779155158.0;25;11900;3;6.0;HIPOTECA;221004;PAGO_DEUDAS;0.05;14.42;1;Y
779509983.0;26;25000;2;0.0;HIPOTECA;232500;SALUD;0.11;14.17;0;Y
714778833.0;25;35000;4;5.0;HIPOTECA;230000;SALUD;0.15;13.99;0;N
713843283.0;23;25300;3;7.0;ALQUILER;83000;EDUCACIÓN;0.3;10.99;1;N
721091583.0;22;2000;4;;HIPOTECA;12600;PERSONAL;0.16;5.42;1;N
716657058.0;25;1750;3;3.0;PROPIA;12600;PERSONAL;0.14;13.61;0;N
785387883.0;21;25000;3;3.0;ALQUILER;42500;EDUCACIÓN;0.59;12.73;1;Y
717929133.0;24;25000;3;2.0;ALQUILER;41000;MEJORAS_HOGAR;0.61;;1;N
808284783.0;25;3000;4;0.0;PROPIA;12816;PAGO_DEUDAS;0.23;12.87;1;Y
708476808.0;24;3650;3;1.0;HIPOTECA;12960;MEJORAS_HOGAR;0.28;9.91;1;N
710916408.0;26;20000;4;4.0;HIPOTECA;226000;MEJORAS_HOGAR;0.09;11.49;0;N
718414008.0;25;30000;2;0.0;HIPOTECA;225000;MEJORAS_HOGAR;0.13;19.91;0;Y
708492558.0;26;35000;2;6.0;HIPOTECA;213000;EDUCACIÓN;0.16;10.65;1;N
799825758.0;24;6000;4;0.0;ALQUILER;225000;SALUD;0.03;;0;N
718619883.0;24;4500;4;0.0;HIPOTECA;12960;PAGO_DEUDAS;0.35;11.83;1;N
715259583.0;23;2400;2;0.0;PROPIA;12996;PAGO_DEUDAS;0.18;13.49;1;Y
720201033.0;22;25000;2;6.0;ALQUILER;42000;SALUD;0.6;14.59;1;Y
711844758.0;26;25000;4;2.0;ALQUILER;48000;EDUCACIÓN;0.52;9.64;1;N
714798783.0;25;3600;3;1.0;PROPIA;12996;SALUD;0.28;14.59;1;N
826762908.0;22;4750;3;1.0;PROPIA;12996;EDUCACIÓN;0.37;;1;N
718039683.0;25;25000;3;1.0;ALQUILER;42360;EDUCACIÓN;0.59;16.35;1;Y
771894558.0;21;25000;2;4.0;ALQUILER;49000;EDUCACIÓN;0.51;10.99;1;N
721074183.0;25;25000;2;0.0;HIPOTECA;225000;INVERSIONES;0.11;18.67;0;N
719666283.0;26;3000;4;1.0;ALQUILER;225000;EDUCACIÓN;0.01;9.32;0;N
714877233.0;23;7500;2;8.0;ALQUILER;225000;PAGO_DEUDAS;0.03;8.63;0;N
771075258.0;26;25000;2;2.0;HIPOTECA;225000;INVERSIONES;0.11;10.08;0;N
711318033.0;22;25000;3;5.0;ALQUILER;49464;PERSONAL;0.51;11.83;1;N
783554958.0;23;25000;3;1.0;ALQUILER;50000;PAGO_DEUDAS;0.5;7.9;1;N
710806083.0;25;25000;2;4.0;ALQUILER;50000;MEJORAS_HOGAR;0.5;5.99;1;N
714752208.0;24;25000;2;2.0;ALQUILER;44000;PAGO_DEUDAS;0.57;15.33;1;N
822063408.0;23;25000;4;1.0;ALQUILER;50000;INVERSIONES;0.5;11.83;1;N
714490308.0;22;25000;2;0.0;ALQUILER;50004;INVERSIONES;0.5;10.36;1;N
713356833.0;22;25000;3;3.0;ALQUILER;50004;INVERSIONES;0.5;12.23;1;N
711402333.0;22;25000;4;2.0;ALQUILER;52000;EDUCACIÓN;0.48;11.11;1;N
708296883.0;23;4950;4;3.0;PROPIA;13200;PAGO_DEUDAS;0.38;7.9;1;N
719154483.0;24;25000;2;1.0;HIPOTECA;220000;EDUCACIÓN;0.11;11.58;0;N
717721458.0;23;21000;3;5.0;HIPOTECA;216000;PAGO_DEUDAS;0.1;8.9;0;N
711112683.0;25;25000;3;2.0;HIPOTECA;216000;EDUCACIÓN;0.12;16.07;0;N
789322833.0;26;20000;2;10.0;HIPOTECA;216000;EDUCACIÓN;0.09;14.22;0;Y
789968058.0;23;35000;3;7.0;HIPOTECA;215000;SALUD;0.16;14.79;0;Y
715674483.0;26;12000;2;11.0;HIPOTECA;215000;EDUCACIÓN;0.06;7.88;0;N
709919283.0;23;25000;2;1.0;ALQUILER;52000;PERSONAL;0.48;13.22;1;N
718744008.0;26;25000;4;2.0;ALQUILER;46000;PAGO_DEUDAS;0.54;11.86;1;N
767712558.0;22;25000;4;5.0;ALQUILER;53000;EDUCACIÓN;0.47;13.43;1;Y
712950783.0;26;25000;2;0.0;ALQUILER;47000;MEJORAS_HOGAR;0.53;15.28;1;Y
716104983.0;23;25000;2;1.0;ALQUILER;47000;INVERSIONES;0.53;17.93;1;N
818839983.0;23;1400;4;2.0;HIPOTECA;13200;EDUCACIÓN;0.11;9.25;0;N
772288758.0;21;4500;4;0.0;PROPIA;13200;INVERSIONES;0.34;12.98;1;N
712350858.0;22;16000;4;6.0;HIPOTECA;210000;INVERSIONES;0.08;10.62;0;N
711009708.0;26;22000;4;10.0;PROPIA;210000;PERSONAL;0.1;11.83;0;N
712720158.0;26;25000;2;5.0;ALQUILER;48000;INVERSIONES;0.52;18.43;1;N
712215258.0;22;25000;4;6.0;ALQUILER;54996;EDUCACIÓN;0.45;;1;N
713786508.0;24;25000;4;4.0;ALQUILER;55000;MEJORAS_HOGAR;0.45;;1;Y
773827008.0;23;25000;3;4.0;ALQUILER;55000;EDUCACIÓN;0.45;11.36;1;N
713539833.0;23;25000;3;4.0;ALQUILER;55000;EDUCACIÓN;0.45;15.65;1;Y
772426383.0;24;25000;4;8.0;ALQUILER;55164;PERSONAL;0.45;13.22;1;Y
795232683.0;26;25000;2;4.0;ALQUILER;56000;PAGO_DEUDAS;0.45;12.87;1;N
712454058.0;24;20000;3;8.0;PROPIA;203500;SALUD;0.1;13.04;0;N
713741358.0;23;22000;3;5.0;HIPOTECA;190000;EDUCACIÓN;0.12;17.58;1;Y
718759833.0;23;7750;4;2.0;PROPIA;13920;PERSONAL;0.56;17.04;1;N
718803333.0;24;25000;3;0.0;ALQUILER;60000;PERSONAL;0.42;10.99;1;N
720253908.0;24;25000;3;2.0;ALQUILER;60000;PERSONAL;0.42;11.11;1;N
708953883.0;26;25000;2;7.0;ALQUILER;54000;PAGO_DEUDAS;0.46;14.83;1;Y
714133158.0;23;4000;3;2.0;PROPIA;14000;PAGO_DEUDAS;0.29;;1;N
713187033.0;24;12000;2;8.0;ALQUILER;200000;SALUD;0.06;12.69;0;N
714791208.0;24;12000;2;8.0;HIPOTECA;200000;MEJORAS_HOGAR;0.06;13.49;0;N
710975883.0;21;16000;4;5.0;HIPOTECA;200000;EDUCACIÓN;0.08;14.65;0;N
714264408.0;25;25000;4;3.0;ALQUILER;54000;MEJORAS_HOGAR;0.46;16.82;1;N
715827858.0;23;25000;3;3.0;ALQUILER;60000;PERSONAL;0.42;12.73;1;N
709531908.0;23;25000;4;7.0;ALQUILER;60000;PERSONAL;0.42;10.25;1;N
716493408.0;21;25000;4;6.0;ALQUILER;60000;EDUCACIÓN;0.42;10.99;1;N
714141108.0;25;25000;2;9.0;ALQUILER;61959;SALUD;0.4;12.73;1;N
820353558.0;22;25000;3;2.0;ALQUILER;56400;MEJORAS_HOGAR;0.44;14.96;1;Y
712608783.0;23;28000;2;7.0;HIPOTECA;200000;EDUCACIÓN;0.14;;0;N
714964758.0;21;25000;2;2.0;HIPOTECA;200000;PAGO_DEUDAS;0.13;13.99;0;N
716264358.0;24;24000;4;3.0;HIPOTECA;200000;INVERSIONES;0.12;7.49;0;N
717296808.0;26;15000;3;4.0;HIPOTECA;200000;EDUCACIÓN;0.07;14.79;0;N
712977183.0;25;15500;2;2.0;HIPOTECA;200000;PAGO_DEUDAS;0.08;11.99;0;N
710829108.0;24;10000;4;8.0;ALQUILER;200000;EDUCACIÓN;0.05;8.49;0;N
779562633.0;24;25000;2;3.0;ALQUILER;66000;EDUCACIÓN;0.38;9.91;1;N
719360583.0;22;25000;3;6.0;ALQUILER;66000;EDUCACIÓN;0.38;13.06;1;Y
715315833.0;22;9000;4;6.0;HIPOTECA;200000;PAGO_DEUDAS;0.04;6.17;0;N
815500983.0;144;6000;2;4.0;HIPOTECA;200000;EDUCACIÓN;0.03;11.86;0;N
709701558.0;25;18000;3;5.0;ALQUILER;200000;EDUCACIÓN;0.09;16.32;0;N
721148358.0;25;12000;2;2.0;HIPOTECA;200000;INVERSIONES;0.06;10.38;0;N
779862408.0;25;23050;3;9.0;HIPOTECA;200000;PERSONAL;0.12;14.35;0;N
812627208.0;24;20000;3;8.0;HIPOTECA;200000;PAGO_DEUDAS;0.1;;0;N
708868233.0;24;25000;2;2.0;ALQUILER;60000;PAGO_DEUDAS;0.42;;1;Y
711033408.0;21;3000;4;0.0;PROPIA;14400;MEJORAS_HOGAR;0.21;;1;N
718030083.0;26;25000;2;10.0;ALQUILER;66996;PERSONAL;0.37;15.21;1;Y
779956608.0;23;25000;4;3.0;ALQUILER;67000;EDUCACIÓN;0.37;7.9;1;N
780376683.0;24;25000;3;2.0;ALQUILER;67000;INVERSIONES;0.37;10.99;1;N
771698658.0;24;25000;3;5.0;ALQUILER;68000;PERSONAL;0.37;14.09;1;Y
717912483.0;25;25000;2;9.0;ALQUILER;69000;PERSONAL;0.36;17.49;1;N
714454758.0;25;12000;3;0.0;HIPOTECA;200000;EDUCACIÓN;0.06;11.48;0;N
780466533.0;26;20000;2;10.0;HIPOTECA;188000;INVERSIONES;0.11;17.74;1;N
715735233.0;26;3000;3;4.0;HIPOTECA;200000;PERSONAL;0.01;13.92;0;N
720476733.0;25;25000;3;9.0;ALQUILER;69996;EDUCACIÓN;0.36;15.21;1;N
715872333.0;22;4000;3;2.0;PROPIA;14400;SALUD;0.28;10.99;1;N
712375758.0;24;25000;4;3.0;ALQUILER;70000;EDUCACIÓN;0.36;11.86;1;N
720707283.0;24;6000;3;5.0;PROPIA;14400;PERSONAL;0.42;7.49;1;N
748326258.0;24;25000;4;7.0;ALQUILER;56100;SALUD;0.38;16.49;1;N
770817783.0;25;25000;2;9.0;ALQUILER;66000;INVERSIONES;0.38;15.33;1;Y
779353083.0;26;25000;4;3.0;ALQUILER;66000;MEJORAS_HOGAR;0.38;11.58;1;N
711441333.0;25;5375;2;7.0;PROPIA;14400;EDUCACIÓN;0.37;5.79;1;N
711551958.0;25;25000;2;9.0;ALQUILER;72612;SALUD;0.34;13.11;1;N
809164083.0;23;25000;3;3.0;ALQUILER;74000;SALUD;0.34;10.36;1;N
820596183.0;25;25000;2;9.0;ALQUILER;75000;PAGO_DEUDAS;0.33;10.36;1;N
719808558.0;24;22000;2;0.0;ALQUILER;192000;SALUD;0.11;;0;Y
715999608.0;21;20000;4;123.0;HIPOTECA;192000;INVERSIONES;0.1;6.54;0;N
710565408.0;25;10000;4;1.0;HIPOTECA;191000;SALUD;0.05;12.53;0;N
805543158.0;26;15000;3;5.0;HIPOTECA;190300;PERSONAL;0.08;;0;N
709752183.0;22;10000;3;3.0;HIPOTECA;190000;INVERSIONES;0.05;;0;N
716479233.0;24;25000;4;4.0;ALQUILER;75000;EDUCACIÓN;0.33;10.25;1;N
770746908.0;22;25000;4;1.0;ALQUILER;71000;EDUCACIÓN;0.35;15.95;1;Y
713837058.0;26;20000;4;3.0;HIPOTECA;190000;INVERSIONES;0.11;12.18;0;N
718876683.0;23;24000;3;0.0;PROPIA;189996;PERSONAL;0.13;11.83;0;N
769425858.0;23;25000;2;7.0;ALQUILER;78000;PAGO_DEUDAS;0.32;;1;Y
794843883.0;23;25000;3;1.0;ALQUILER;78000;INVERSIONES;0.32;10.62;1;N
803043933.0;23;25000;3;7.0;ALQUILER;78504;INVERSIONES;0.32;10.74;1;N
758076408.0;25;10000;4;9.0;PROPIA;186000;INVERSIONES;0.05;10.25;0;N
714606558.0;24;35000;2;;HIPOTECA;185000;EDUCACIÓN;0.19;12.42;0;N
778425408.0;25;15000;2;6.0;ALQUILER;185000;INVERSIONES;0.08;15.27;0;N
772336458.0;24;25000;2;8.0;ALQUILER;62050;SALUD;0.34;15.33;1;Y
769433508.0;23;25000;2;7.0;ALQUILER;79416;INVERSIONES;0.31;15.21;1;Y
714171108.0;21;6250;2;4.0;PROPIA;14400;INVERSIONES;0.43;14.72;1;N
790096533.0;24;25000;2;8.0;ALQUILER;79631;PERSONAL;0.31;15.7;1;Y
719662458.0;24;25000;4;0.0;ALQUILER;79632;EDUCACIÓN;0.31;13.35;1;N
713137233.0;21;1500;4;0.0;HIPOTECA;14400;SALUD;0.1;;0;N
711297483.0;24;25000;2;6.0;ALQUILER;80000;EDUCACIÓN;0.31;6.62;1;N
788900883.0;26;25000;4;5.0;ALQUILER;80000;PAGO_DEUDAS;0.31;13.61;1;N
758348808.0;22;25000;2;4.0;ALQUILER;185000;SALUD;0.14;11.36;0;N
708711483.0;26;5000;2;10.0;PROPIA;185000;PERSONAL;0.03;7.68;0;N
717906783.0;24;22000;4;7.0;ALQUILER;184992;MEJORAS_HOGAR;0.12;14.46;0;Y
719437908.0;23;2500;2;5.0;PROPIA;184000;EDUCACIÓN;0.01;11.83;0;N
720997383.0;24;20000;4;6.0;HIPOTECA;172000;PAGO_DEUDAS;0.12;13.47;1;Y
787541883.0;24;20000;3;2.0;HIPOTECA;183000;SALUD;0.11;11.49;0;N
709930758.0;22;1000;2;3.0;HIPOTECA;183000;EDUCACIÓN;0.01;;0;N
789830058.0;25;15000;3;9.0;HIPOTECA;182952;PERSONAL;0.08;6.03;0;N
710741208.0;23;25000;4;7.0;ALQUILER;74004;PAGO_DEUDAS;0.34;16.35;1;N
710299608.0;26;25000;4;10.0;ALQUILER;74004;PAGO_DEUDAS;0.34;;1;Y
715341858.0;25;25000;3;5.0;ALQUILER;81000;PAGO_DEUDAS;0.31;7.29;1;N
793636308.0;23;25000;3;1.0;ALQUILER;81600;SALUD;0.31;11.36;1;N
713779908.0;24;25000;2;8.0;ALQUILER;82000;INVERSIONES;0.3;10.25;0;N
709703433.0;24;25000;3;5.0;ALQUILER;83000;EDUCACIÓN;0.3;11.12;0;N
821797008.0;24;25000;3;5.0;ALQUILER;83000;PERSONAL;0.3;12.92;0;Y
708874533.0;24;18000;4;8.0;ALQUILER;180000;EDUCACIÓN;0.1;18.64;0;Y
712125258.0;23;28000;3;8.0;HIPOTECA;180000;PERSONAL;0.16;7.51;0;N
721022433.0;23;4000;2;2.0;PROPIA;14400;MEJORAS_HOGAR;0.28;16.7;1;N
710103558.0;22;2100;4;0.0;PROPIA;14400;PERSONAL;0.15;11.14;0;N
715952883.0;22;25000;4;6.0;ALQUILER;84500;PERSONAL;0.3;18.3;0;N
719731458.0;24;25000;4;5.0;ALQUILER;85000;SALUD;0.29;10.62;0;N
787348608.0;24;14000;2;7.0;HIPOTECA;180000;INVERSIONES;0.08;11.99;0;N
709485033.0;26;12000;4;2.0;HIPOTECA;180000;INVERSIONES;0.07;9.63;0;N
715432608.0;25;10000;4;9.0;HIPOTECA;142800;SALUD;0.06;18.25;1;N
799471833.0;23;6000;4;0.0;HIPOTECA;14664;PAGO_DEUDAS;0.41;;1;N
714187533.0;24;25000;3;8.0;ALQUILER;87000;MEJORAS_HOGAR;0.29;14.84;0;N
772390908.0;24;25000;3;0.0;ALQUILER;75000;INVERSIONES;0.33;14.7;1;Y
779656908.0;23;25000;4;7.0;ALQUILER;76000;PAGO_DEUDAS;0.33;16.02;1;N
778867533.0;23;25000;2;1.0;ALQUILER;66215;SALUD;0.32;15.37;1;Y
788950158.0;25;25000;4;9.0;ALQUILER;90000;SALUD;0.28;10.99;0;N
710620383.0;21;6200;2;0.0;PROPIA;15000;MEJORAS_HOGAR;0.41;7.9;1;N
778661358.0;26;25000;4;2.0;PROPIA;180000;PERSONAL;0.14;10.99;0;N
789483333.0;24;21000;3;8.0;PROPIA;180000;EDUCACIÓN;0.12;11.48;0;N
771809733.0;25;20000;4;9.0;PROPIA;180000;SALUD;0.11;14.26;0;Y
809855808.0;26;10000;4;0.0;PROPIA;180000;MEJORAS_HOGAR;0.06;8.0;0;N
718464258.0;25;9950;2;3.0;HIPOTECA;180000;INVERSIONES;0.06;11.26;0;N
708528483.0;23;4475;4;7.0;PROPIA;15000;SALUD;0.3;;1;N
719942883.0;23;25000;3;2.0;ALQUILER;78000;INVERSIONES;0.32;16.32;1;Y
717806133.0;25;25000;4;3.0;ALQUILER;66300;SALUD;0.32;17.93;1;Y
807226683.0;23;25000;3;0.0;ALQUILER;90000;PAGO_DEUDAS;0.28;11.36;0;N
719211558.0;24;25000;4;9.0;ALQUILER;79000;PAGO_DEUDAS;0.32;14.96;1;Y
714511758.0;24;25000;3;4.0;ALQUILER;91800;PERSONAL;0.27;13.43;0;Y
720615708.0;25;25000;3;6.0;ALQUILER;92000;MEJORAS_HOGAR;0.27;12.69;0;N
715050408.0;24;25000;4;1.0;ALQUILER;92000;INVERSIONES;0.27;12.73;0;Y
721132233.0;23;25000;4;3.0;ALQUILER;93600;INVERSIONES;0.27;15.21;0;N
712069008.0;23;1750;3;1.0;HIPOTECA;15000;SALUD;0.12;12.68;0;Y
718621608.0;23;25000;4;3.0;ALQUILER;70550;SALUD;0.3;19.04;1;Y
715996983.0;25;25000;3;2.0;ALQUILER;83800;PAGO_DEUDAS;0.3;15.95;1;Y
773466258.0;26;2600;4;3.0;HIPOTECA;175000;INVERSIONES;0.01;8.9;0;N
798983508.0;25;8000;2;10.0;HIPOTECA;175000;MEJORAS_HOGAR;0.05;7.9;0;N
719117433.0;22;18000;2;6.0;HIPOTECA;175000;EDUCACIÓN;0.1;;0;N
716451183.0;23;21000;3;8.0;HIPOTECA;175000;PERSONAL;0.12;11.99;0;N
715085733.0;23;4000;4;4.0;PROPIA;15000;PAGO_DEUDAS;0.27;13.98;1;N
788977833.0;23;4600;2;4.0;PROPIA;15000;INVERSIONES;0.31;10.99;1;N
720272958.0;22;25000;2;6.0;ALQUILER;88000;PAGO_DEUDAS;0.28;15.58;1;Y
708421833.0;25;25000;2;2.0;ALQUILER;74800;SALUD;0.28;10.99;1;N
